                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.85099,                0.98718,                 1.3102,                0.62091,                0.59943,                 0.6417,                0.43247,                 1.2268,                 1.1683,                 1.9057,             0.00051138,             0.00051138,             0.00051138
                     80,                0.86005,                0.97265,                 1.3248,                0.61859,                0.60182,                0.63702,                0.41158,                 1.2262,                 1.1912,                 1.9358,             0.00050726,             0.00050726,             0.00050726
                     81,                 0.8508,                0.98791,                 1.3203,                 0.6317,                  0.559,                 0.6276,                0.42299,                 1.2311,                 1.2726,                 1.9225,             0.00050313,             0.00050313,             0.00050313
                     82,                0.85281,                0.95667,                 1.3113,                0.65718,                0.62514,                 0.6405,                 0.4375,                  1.203,                 1.2201,                 1.9056,             0.00049901,             0.00049901,             0.00049901
                     83,                0.84533,                0.95461,                 1.3081,                0.62618,                 0.6054,                0.64111,                0.41897,                 1.2091,                 1.2528,                 1.9079,             0.00049489,             0.00049489,             0.00049489
                     84,                0.83157,                0.92176,                 1.3025,                0.58953,                0.57312,                0.60855,                0.41409,                 1.2114,                 1.2789,                 1.9255,             0.00049076,             0.00049076,             0.00049076
                     85,                0.83659,                  0.924,                 1.3084,                0.57021,                0.66395,                 0.6404,                0.43308,                 1.1901,                 1.1861,                 1.8811,             0.00048664,             0.00048664,             0.00048664
                     86,                0.82171,                0.90326,                 1.2913,                0.62421,                0.65655,                0.64897,                0.43778,                 1.1851,                 1.2312,                 1.8847,             0.00048252,             0.00048252,             0.00048252
                     87,                0.81268,                0.90052,                 1.2859,                0.56587,                 0.6597,                0.63725,                0.42921,                 1.2344,                 1.2401,                 1.9419,             0.00047839,             0.00047839,             0.00047839
                     88,                0.80728,                 0.8988,                 1.2868,                 0.6429,                0.62251,                0.66027,                0.44956,                 1.1995,                 1.1824,                 1.9044,             0.00047427,             0.00047427,             0.00047427
                     89,                0.80716,                0.90477,                 1.2884,                 0.5836,                0.62424,                0.60944,                0.40688,                 1.1934,                 1.2422,                 1.9175,             0.00047015,             0.00047015,             0.00047015
                     90,                0.81099,                 0.9049,                 1.2841,                0.57993,                0.62744,                0.62366,                0.42946,                 1.2156,                 1.2297,                 1.9443,             0.00046602,             0.00046602,             0.00046602
                     91,                0.79148,                0.87075,                  1.271,                0.62618,                0.63796,                0.63841,                0.43189,                 1.1875,                 1.2335,                 1.9498,              0.0004619,              0.0004619,              0.0004619
                     92,                0.79809,                0.87405,                 1.2764,                0.62616,                0.62715,                 0.6262,                0.42096,                 1.1986,                 1.2478,                 1.9379,             0.00045778,             0.00045778,             0.00045778
                     93,                0.79299,                 0.8498,                 1.2748,                0.65817,                0.62381,                0.65454,                0.43876,                 1.2123,                 1.2061,                 1.9463,             0.00045365,             0.00045365,             0.00045365
                     94,                0.79621,                0.87016,                  1.278,                0.66913,                 0.5661,                 0.6361,                 0.4257,                 1.2159,                 1.2099,                 1.9745,             0.00044953,             0.00044953,             0.00044953
                     95,                0.78222,                0.84012,                 1.2717,                0.60572,                0.65255,                0.64098,                0.42616,                 1.2316,                 1.2297,                 1.9825,             0.00044541,             0.00044541,             0.00044541
                     96,                0.78271,                0.87721,                 1.2709,                0.64377,                0.56451,                0.63038,                0.42036,                 1.1953,                 1.1867,                 1.9244,             0.00044128,             0.00044128,             0.00044128
                     97,                0.78478,                0.86022,                  1.271,                0.54981,                0.67481,                0.63522,                0.43074,                 1.1959,                 1.2203,                 1.9467,             0.00043716,             0.00043716,             0.00043716
                     98,                0.77285,                0.83012,                 1.2585,                 0.5895,                0.64533,                0.62914,                0.42252,                  1.228,                 1.2964,                  1.974,             0.00043304,             0.00043304,             0.00043304
                     99,                0.76871,                0.84505,                 1.2545,                0.64296,                0.59831,                0.63903,                0.43613,                 1.2243,                  1.305,                 1.9432,             0.00042891,             0.00042891,             0.00042891
