                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.78476,                0.68783,                 1.2168,                0.67771,                0.57853,                0.60953,                0.38733,                 1.3466,                 1.3067,                  1.949,               0.000532,               0.000532,               0.000532
                     75,                0.77577,                0.66791,                 1.2094,                0.64566,                0.59923,                0.62253,                0.40351,                 1.3004,                 1.2708,                 1.8672,             0.00052787,             0.00052787,             0.00052787
                     76,                0.77031,                0.68166,                 1.2041,                0.67224,                0.60811,                 0.6601,                0.41751,                 1.3136,                 1.2406,                 1.9157,             0.00052375,             0.00052375,             0.00052375
                     77,                0.76813,                 0.6789,                  1.201,                0.75068,                0.50846,                0.63639,                0.41273,                 1.2955,                 1.2584,                 1.9014,             0.00051963,             0.00051963,             0.00051963
                     78,                0.76617,                0.67058,                 1.2003,                0.72058,                0.58565,                0.63465,                0.40403,                 1.2908,                 1.2738,                 1.8962,              0.0005155,              0.0005155,              0.0005155
                     79,                 0.7621,                0.65429,                 1.2001,                0.68532,                0.58227,                0.62802,                 0.3939,                  1.313,                 1.3495,                 1.9482,             0.00051138,             0.00051138,             0.00051138
                     80,                0.76153,                0.63945,                 1.1927,                0.67728,                0.60985,                0.64689,                0.41024,                 1.3601,                 1.3092,                 1.9305,             0.00050726,             0.00050726,             0.00050726
                     81,                0.77098,                0.65856,                 1.1917,                0.61812,                0.62105,                0.64971,                0.40838,                 1.3426,                 1.3007,                 1.9507,             0.00050313,             0.00050313,             0.00050313
                     82,                0.76845,                0.65126,                 1.2093,                0.64455,                0.63274,                 0.6549,                0.42242,                 1.2952,                   1.32,                 1.9246,             0.00049901,             0.00049901,             0.00049901
                     83,                0.75961,                0.64668,                 1.1936,                 0.6354,                0.60197,                0.63749,                0.41074,                 1.3394,                 1.2733,                 1.9404,             0.00049489,             0.00049489,             0.00049489
                     84,                 0.7468,                 0.6431,                 1.1858,                0.68903,                0.59693,                0.65124,                0.41113,                 1.3318,                 1.3309,                 1.9261,             0.00049076,             0.00049076,             0.00049076
                     85,                0.74114,                 0.6383,                 1.1858,                 0.6882,                0.56732,                0.64594,                0.40363,                 1.3416,                 1.2343,                 1.9488,             0.00048664,             0.00048664,             0.00048664
                     86,                0.74686,                0.64578,                 1.1911,                0.65486,                0.62791,                0.65963,                0.42496,                 1.2793,                 1.2662,                  1.874,             0.00048252,             0.00048252,             0.00048252
                     87,                0.73933,                0.62576,                 1.1709,                0.72194,                0.56231,                0.62133,                0.39657,                 1.3005,                 1.2992,                 1.9199,             0.00047839,             0.00047839,             0.00047839
                     88,                0.72504,                0.62272,                 1.1789,                 0.7444,                0.54403,                0.61581,                0.39189,                 1.2884,                 1.3086,                 1.9159,             0.00047427,             0.00047427,             0.00047427
                     89,                0.74182,                 0.6357,                 1.1813,                0.63008,                0.62959,                 0.6238,                0.39967,                 1.3307,                 1.2582,                 1.9547,             0.00047015,             0.00047015,             0.00047015
                     90,                 0.7258,                0.61644,                 1.1734,                0.73369,                0.59692,                0.67221,                0.41699,                 1.3237,                 1.2368,                 1.9291,             0.00046602,             0.00046602,             0.00046602
                     91,                0.73688,                0.61458,                 1.1702,                0.64354,                0.63558,                0.65761,                0.41527,                 1.3511,                 1.2656,                      2,              0.0004619,              0.0004619,              0.0004619
                     92,                0.73308,                 0.6211,                 1.1676,                0.74958,                0.56229,                0.63322,                0.40303,                 1.3313,                 1.2861,                   1.96,             0.00045778,             0.00045778,             0.00045778
                     93,                0.72725,                0.60858,                 1.1733,                0.77392,                0.60172,                0.66774,                0.41599,                 1.3266,                 1.2434,                 1.9714,             0.00045365,             0.00045365,             0.00045365
                     94,                0.72246,                0.61496,                 1.1649,                0.67818,                0.62233,                0.63748,                0.40737,                 1.2975,                  1.296,                 1.9222,             0.00044953,             0.00044953,             0.00044953
                     95,                0.72546,                0.60262,                 1.1711,                0.78233,                0.56584,                0.64177,                0.40415,                 1.3221,                  1.252,                 1.9331,             0.00044541,             0.00044541,             0.00044541
                     96,                0.71983,                0.60656,                 1.1682,                0.70308,                0.61235,                0.64789,                0.40889,                 1.3109,                 1.2536,                 1.9171,             0.00044128,             0.00044128,             0.00044128
                     97,                0.72913,                0.60964,                 1.1676,                0.73594,                0.59543,                0.65628,                0.42102,                 1.3307,                 1.2553,                 1.9692,             0.00043716,             0.00043716,             0.00043716
                     98,                0.70368,                0.59218,                 1.1559,                0.65505,                0.62242,                0.64336,                0.41946,                 1.3206,                 1.2598,                 1.9531,             0.00043304,             0.00043304,             0.00043304
                     99,                0.70093,                0.57943,                 1.1457,                0.75787,                0.58232,                0.64019,                0.40203,                 1.3627,                 1.3091,                  1.991,             0.00042891,             0.00042891,             0.00042891
                    100,                0.70923,                0.58226,                 1.1636,                0.65127,                 0.6164,                0.63842,                0.40331,                 1.3322,                  1.276,                 1.9359,             0.00042479,             0.00042479,             0.00042479
                    101,                 0.6932,                0.57146,                 1.1477,                 0.7915,                0.56449,                0.66018,                0.41585,                 1.3443,                 1.2701,                 1.9935,             0.00042066,             0.00042066,             0.00042066
                    102,                0.69965,                0.57247,                  1.154,                0.77228,                0.57813,                0.65306,                0.41964,                 1.3417,                 1.2332,                 1.9932,             0.00041654,             0.00041654,             0.00041654
                    103,                0.69382,                0.57212,                  1.147,                0.79892,                0.55829,                 0.6651,                0.42773,                 1.3386,                 1.2637,                 1.9908,             0.00041242,             0.00041242,             0.00041242
                    104,                0.69986,                0.57118,                 1.1541,                0.71121,                 0.6041,                0.66741,                0.41301,                 1.3322,                  1.254,                 1.9795,             0.00040829,             0.00040829,             0.00040829
