                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.85508,                 1.0069,                  1.251,                0.64424,                0.52464,                0.58457,                0.38105,                 1.3363,                  1.585,                 1.6898,             0.00056498,             0.00056498,             0.00056498
                     67,                0.86229,                0.96572,                 1.2306,                0.63831,                0.54217,                0.58656,                0.36614,                 1.3328,                 1.6354,                 1.6761,             0.00056086,             0.00056086,             0.00056086
                     68,                0.89683,                0.98685,                 1.2205,                0.58805,                 0.5858,                 0.5545,                0.36109,                 1.3358,                 1.5934,                 1.6664,             0.00055674,             0.00055674,             0.00055674
                     69,                0.87833,                0.97304,                 1.2267,                0.48111,                0.60738,                0.57894,                0.36788,                  1.431,                 1.5079,                 1.7587,             0.00055261,             0.00055261,             0.00055261
                     70,                0.85507,                0.95669,                 1.2319,                0.61894,                 0.5998,                 0.6009,                0.36752,                 1.4518,                  1.748,                 1.8152,             0.00054849,             0.00054849,             0.00054849
                     71,                0.90618,                0.95147,                 1.2423,                0.65314,                0.59413,                0.61918,                0.38832,                 1.4088,                 1.4976,                 1.7353,             0.00054437,             0.00054437,             0.00054437
                     72,                0.84246,                0.94529,                 1.2265,                0.51718,                0.64208,                0.58941,                0.38999,                  1.423,                 1.4247,                  1.727,             0.00054024,             0.00054024,             0.00054024
                     73,                 0.8324,                0.94246,                 1.2166,                0.64731,                0.52599,                0.59258,                0.38717,                 1.3251,                 1.4791,                 1.6506,             0.00053612,             0.00053612,             0.00053612
                     74,                0.81077,                0.87821,                 1.1994,                 0.6678,                0.48566,                0.55809,                0.36415,                  1.278,                  1.532,                 1.6387,               0.000532,               0.000532,               0.000532
                     75,                0.88266,                0.88645,                   1.21,                0.75272,                0.54322,                0.61569,                0.40599,                 1.3368,                 1.5539,                 1.6779,             0.00052787,             0.00052787,             0.00052787
                     76,                0.83415,                0.92148,                 1.2108,                0.63439,                0.60812,                0.64353,                0.41564,                 1.3966,                  1.638,                 1.7694,             0.00052375,             0.00052375,             0.00052375
                     77,                0.83083,                 0.8825,                 1.1988,                 0.5855,                0.61242,                 0.6467,                0.42835,                 1.2994,                  1.439,                 1.6764,             0.00051963,             0.00051963,             0.00051963
                     78,                0.81031,                0.84521,                 1.1905,                0.68344,                0.48763,                0.55774,                 0.3605,                 1.3381,                 1.5514,                 1.7106,              0.0005155,              0.0005155,              0.0005155
                     79,                0.78821,                 0.8513,                 1.2014,                 0.5198,                0.55325,                0.57301,                0.36449,                 1.3652,                 1.6805,                 1.6993,             0.00051138,             0.00051138,             0.00051138
