                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.83487,                0.73142,                 1.2349,                0.62851,                0.59986,                0.59641,                0.37653,                 1.2911,                 1.3503,                 1.8716,                0.00901,                0.00901,                0.00901
                    102,                0.82991,                0.73597,                 1.2325,                0.68193,                0.60971,                 0.6219,                0.40059,                  1.315,                 1.2726,                 1.8776,              0.0090001,              0.0090001,              0.0090001
                    103,                0.82642,                0.72502,                 1.2254,                0.63679,                0.61178,                0.61425,                 0.3948,                 1.2826,                 1.3903,                 1.8653,              0.0089902,              0.0089902,              0.0089902
                    104,                0.83266,                0.73394,                 1.2366,                0.70407,                  0.546,                0.59964,                0.38606,                 1.3019,                 1.3562,                  1.874,              0.0089803,              0.0089803,              0.0089803
                    105,                0.83066,                 0.7575,                 1.2324,                0.64212,                0.59101,                0.60253,                0.38211,                 1.2862,                 1.3564,                 1.8407,              0.0089704,              0.0089704,              0.0089704
                    106,                 0.8267,                0.73037,                 1.2273,                 0.6933,                0.55911,                0.64172,                0.39086,                 1.3265,                  1.296,                 1.8876,              0.0089605,              0.0089605,              0.0089605
                    107,                0.82108,                0.71326,                 1.2263,                0.58949,                0.62205,                  0.629,                0.40351,                 1.3255,                 1.3336,                 1.9032,              0.0089506,              0.0089506,              0.0089506
                    108,                0.80867,                0.71111,                 1.2197,                0.68604,                0.56523,                 0.6179,                0.39615,                 1.2736,                  1.364,                 1.8448,              0.0089407,              0.0089407,              0.0089407
                    109,                0.82765,                0.72386,                 1.2194,                0.69959,                0.59242,                 0.6461,                0.41943,                 1.3176,                 1.3543,                 1.8848,              0.0089308,              0.0089308,              0.0089308
                    110,                0.81916,                0.72621,                 1.2288,                0.73431,                0.52665,                0.60521,                0.37943,                 1.3257,                 1.3232,                 1.9062,              0.0089209,              0.0089209,              0.0089209
                    111,                0.81402,                0.72408,                 1.2302,                0.70504,                0.55233,                0.62353,                0.39702,                 1.3193,                 1.3575,                  1.913,               0.008911,               0.008911,               0.008911
                    112,                0.83097,                0.73877,                 1.2338,                0.66756,                0.58438,                0.63528,                0.39677,                 1.2957,                 1.2916,                 1.8794,              0.0089011,              0.0089011,              0.0089011
                    113,                0.80532,                0.70744,                 1.2198,                0.62506,                0.62085,                0.64588,                0.40771,                 1.3217,                 1.2772,                 1.8932,              0.0088912,              0.0088912,              0.0088912
                    114,                0.80268,                0.70207,                 1.2184,                0.63893,                0.57726,                0.61835,                0.39006,                 1.3195,                 1.4379,                 1.9053,              0.0088813,              0.0088813,              0.0088813
                    115,                0.82035,                0.70562,                 1.2175,                0.70383,                0.56338,                0.61348,                0.39419,                  1.293,                 1.3729,                 1.8673,              0.0088714,              0.0088714,              0.0088714
                    116,                0.80385,                0.68472,                 1.2086,                0.69732,                0.55355,                0.62324,                0.39355,                  1.253,                 1.3491,                 1.8404,              0.0088615,              0.0088615,              0.0088615
                    117,                0.80436,                0.70418,                 1.2143,                0.62316,                 0.6167,                0.64844,                0.40729,                 1.3229,                 1.2628,                 1.9294,              0.0088516,              0.0088516,              0.0088516
                    118,                0.79586,                0.70635,                 1.2094,                0.70312,                0.57782,                  0.628,                0.39263,                 1.2965,                 1.3606,                  1.848,              0.0088417,              0.0088417,              0.0088417
                    119,                0.79632,                0.71057,                 1.2125,                0.58631,                0.66343,                0.64396,                0.41593,                 1.2844,                 1.3077,                 1.8446,              0.0088318,              0.0088318,              0.0088318
                    120,                0.80199,                 0.7099,                 1.2172,                 0.6329,                0.60723,                0.63159,                0.40691,                 1.2713,                  1.319,                 1.8491,              0.0088219,              0.0088219,              0.0088219
                    121,                0.78857,                0.67876,                 1.2024,                0.65478,                0.57642,                0.61902,                0.39908,                 1.3099,                 1.3409,                 1.9094,               0.008812,               0.008812,               0.008812
                    122,                0.79968,                0.68606,                 1.2043,                  0.696,                0.59951,                0.63638,                0.40901,                 1.3019,                 1.3175,                 1.8981,              0.0088021,              0.0088021,              0.0088021
                    123,                0.79204,                0.69906,                  1.209,                 0.6442,                0.57161,                 0.6114,                0.39526,                 1.3239,                 1.3724,                 1.9054,              0.0087922,              0.0087922,              0.0087922
                    124,                0.78662,                0.68763,                 1.2065,                0.72235,                0.62811,                0.65412,                0.41272,                 1.3407,                 1.2448,                 1.9365,              0.0087823,              0.0087823,              0.0087823
                    125,                0.79065,                0.67578,                 1.2024,                 0.6405,                0.61291,                0.63328,                0.40526,                 1.2946,                  1.385,                 1.8902,              0.0087724,              0.0087724,              0.0087724
                    126,                0.79128,                0.67514,                 1.2071,                0.68357,                0.60697,                0.64855,                0.40198,                 1.3049,                 1.2951,                 1.9122,              0.0087625,              0.0087625,              0.0087625
                    127,                0.79566,                0.68289,                 1.2078,                0.68367,                0.57815,                 0.6236,                0.39343,                 1.3072,                 1.2995,                  1.904,              0.0087526,              0.0087526,              0.0087526
                    128,                0.79184,                0.68029,                  1.203,                0.73657,                0.57072,                0.63781,                0.39705,                 1.3047,                 1.3234,                 1.9137,              0.0087427,              0.0087427,              0.0087427
                    129,                0.78065,                0.67901,                 1.1983,                0.61613,                0.60459,                0.61034,                0.39124,                 1.3012,                 1.3988,                 1.8967,              0.0087328,              0.0087328,              0.0087328
                    130,                0.77939,                0.67694,                 1.1985,                0.68168,                0.61089,                0.64465,                0.41895,                 1.2836,                 1.3598,                 1.8835,              0.0087229,              0.0087229,              0.0087229
                    131,                0.78991,                0.67734,                 1.1969,                0.72802,                0.55443,                0.62538,                0.39893,                 1.3265,                 1.3895,                 1.9299,               0.008713,               0.008713,               0.008713
                    132,                0.78352,                0.67454,                 1.1979,                0.65346,                0.59802,                 0.6502,                0.41055,                 1.2943,                  1.284,                 1.8833,              0.0087031,              0.0087031,              0.0087031
                    133,                0.77095,                0.66171,                 1.1898,                0.60499,                0.62961,                0.60411,                0.37686,                 1.2973,                 1.3937,                 1.8829,              0.0086932,              0.0086932,              0.0086932
